State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.51858	1.50817	1.49255	1.49949	1.54809	1.61925	1.69040	1.66958	1.71470	1.70429	1.73379	1.80321	1.78586	1.81709	1.78412	1.80668	1.79453	1.79974	1.79800	1.83619	1.81362
2	1.60747	1.68121	1.66646	1.67137	1.68612	1.72053	1.81393	1.91717	1.93191	2.01057	2.15804	2.20720	2.34976	2.31043	2.24652	2.23178	2.28585	2.17279	2.13838	2.03514	2.16296
3	3.86927	3.90758	3.70965	3.52448	3.36486	3.51810	3.53087	3.49894	3.26909	3.10308	2.93707	3.00092	2.63059	2.63059	2.67529	2.80299	2.64975	2.59228	2.88599	2.86684	2.80299
4	4.04172	3.97035	3.95532	3.90649	3.80883	3.67360	3.47828	3.39564	3.29798	3.15524	2.96743	2.91860	2.96743	3.03129	3.06509	3.07636	3.15900	3.21534	3.13646	3.20783	3.15149
5	1.91536	1.83654	1.82472	1.83654	1.84837	1.87989	1.87989	1.93901	1.89566	1.80895	1.77743	1.71043	1.56855	1.51731	1.52914	1.43849	1.45032	1.46608	1.50155	1.45820	1.46608
6	1.05264	1.05566	1.03756	0.98779	1.00438	0.96216	0.98327	0.94557	0.93049	0.92596	0.90183	0.88072	0.88374	0.83246	0.78722	0.77968	0.76158	0.75404	0.76912	0.77817	0.79778
7	3.28240	3.27209	3.27381	3.27424	3.26178	3.24159	3.21667	3.20378	3.17242	3.14406	3.10368	3.03365	2.98080	2.93569	2.86996	2.80594	2.72474	2.66717	2.60100	2.53398	2.48973
8	0.64660	0.64923	0.65182	0.65463	0.65636	0.65744	0.65817	0.66103	0.66679	0.67386	0.67885	0.68493	0.69351	0.69931	0.70884	0.71605	0.72485	0.73233	0.73855	0.74494	0.75025
9	1.08862	0.97029	0.97029	1.06495	1.11228	0.97029	1.13595	1.08862	1.18328	0.89929	1.25428	1.56193	1.27794	1.41994	1.41994	1.06495	1.23061	1.25428	1.27794	1.27794	1.06495
10	1.25489	1.25150	1.25198	1.25198	1.24956	1.25586	1.26119	1.25974	1.25780	1.25828	1.26894	1.26894	1.27185	1.26749	1.26070	1.26070	1.25828	1.25005	1.24036	1.24181	1.23793
