State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.55179	2.73559	2.85353	2.93165	2.91020	2.85353	2.67432	2.21022	1.66494	1.51484	1.40762	1.18553	1.08750	1.07831	1.18859	1.35248	1.57764	1.76757	1.84721	1.89010	1.91920
2	2.58137	2.57703	2.65946	3.05426	3.32325	3.47509	3.74408	4.03041	4.06946	3.34060	2.52931	1.93061	1.56618	1.39698	1.33624	1.16704	1.19307	1.27116	1.32756	1.29719	1.31455
3	5.17858	6.23796	7.58473	10.09232	13.62547	17.91372	23.85866	29.45987	32.92540	38.21105	37.91803	27.73555	24.39399	21.83005	19.73383	17.43474	14.40310	11.47853	8.77372	6.81274	5.64065
4	6.15277	7.12077	8.52304	10.44909	13.22049	16.51898	20.31805	24.74366	29.23227	30.06103	32.19925	39.52224	40.31785	39.47914	37.23152	33.06448	27.42887	21.90597	17.46378	14.32772	11.91435
5	5.07468	5.19294	4.99816	4.64687	3.83993	2.97386	2.03822	1.56519	1.26606	1.25563	1.49562	1.07476	1.21041	1.53736	2.56691	5.10599	8.92852	11.95803	13.88495	14.28842	14.17364
6	1.49866	1.33894	1.18854	0.95030	0.75865	0.61357	0.54835	0.49645	0.45652	0.45918	0.43123	0.44055	0.45253	0.48048	0.54835	0.65749	0.88642	1.44276	2.10291	2.81231	3.33804
7	0.77124	0.72081	0.67114	0.62753	0.57862	0.53425	0.48800	0.45122	0.43415	0.41899	0.41368	0.41861	0.42505	0.44325	0.45273	0.47700	0.51568	0.58544	0.66507	0.76820	0.88461
8	0.67510	0.65933	0.64044	0.61261	0.57875	0.53783	0.48627	0.43479	0.39576	0.37478	0.36710	0.36710	0.37594	0.38699	0.39884	0.41613	0.43423	0.44948	0.46513	0.47686	0.48739
9	1.10696	1.08608	1.27405	1.27405	1.16962	1.12785	1.42025	2.08861	2.31835	3.21645	3.59240	2.19304	1.69177	1.52468	1.50380	1.42025	1.33671	1.33671	1.31582	1.14873	0.89810
10	2.49423	2.50065	2.50278	2.46943	2.40315	2.29411	2.10939	1.86736	1.65484	1.48380	1.39999	1.42094	1.52314	1.66083	1.79980	1.92509	2.03798	2.11879	2.16369	2.19234	2.18935
