State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.01474	0.88814	1.45501	1.22080	1.73397	1.40766	2.00055	0.58453
2	0.71130	1.27926	1.67327	1.19845	2.15827	2.52939	2.40969	0.47206
3	0.54764	46.57653	5.94054	1.19247	2.93738	37.91920	17.41887	0.42757
4	0.93088	33.73353	6.13048	1.87516	2.96774	32.19693	19.73084	0.22264
5	0.88723	0.71728	1.74558	2.20988	1.77761	1.49567	4.46872	0.24079
6	2.31859	0.26304	1.07505	2.24117	0.90042	0.43124	0.98190	0.21116
7	8.13861	0.46635	3.58861	2.16396	3.10314	0.41369	0.60212	0.32402
8	77.08648	0.25971	0.58378	0.80048	0.67893	0.36711	0.51700	1.13350
9	0.14775	3.88642	1.25387	0.74135	1.25441	3.59251	1.68316	0.55933
10	7.21677	2.04460	1.17557	1.06764	1.26907	1.40003	2.09304	1.00386
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
