State (Emission order)	H3K36me3	H4K20me1	H3K9me3	H3K27me3	H3K4me3	H3K9ac	H3K27ac	H3K4me2	H3K4me1	H3K79me2
1	0.02114281587383297	0.0068901404313107826	0.018503655960222326	0.0021887884067099575	0.025886223419460303	0.012135978101305376	0.09218718495676698	0.1374033716725184	0.5461596238980835	0.018094156717428717
2	0.027085385346797664	0.003913448137406786	0.019228003495883838	7.058159989513677E-4	0.41853823191034406	0.43151047411629795	0.9062069591038661	0.7394054882844601	0.8333880260238433	0.09476666055210978
3	3.5637326923548433E-4	0.012055594697645845	0.0060710952376314764	0.08281481933828173	0.5101152651132626	0.30554405456063766	0.10977463722864204	0.8029791898557977	0.262772575936567	0.02672671419702699
4	0.036072949830079984	0.030323021529621318	0.010660682778505376	0.0027637561126815763	0.9447350289596196	0.9558426291600821	0.8785232972676157	0.8938616901304532	0.23212944790408627	0.8164201669976773
5	0.1485203487369472	0.06099526787444533	0.02310867623743135	0.0015626686012081537	0.41052532557665533	0.12502700388071622	0.3494115495729027	0.5732746167006892	0.5425572630708355	0.9251165767874976
6	0.1277799980028983	0.03780633090544467	0.029712361263166835	4.998282036043829E-4	0.012552475219363958	0.0029086795757143394	0.009611518608736989	0.021269499870466328	0.07251141907503586	0.6299758135492797
7	0.17663587414112736	0.00963238402694572	0.013473023543494146	5.37899885668876E-5	0.0022062458787053757	7.695539328841756E-4	0.0015547138743429298	4.589128443162513E-4	0.004041307645486278	0.016896417027804016
8	7.796133345869165E-4	0.0015922640573135202	0.004015561869875745	0.0019016856400268347	0.001043010926745617	2.5882386618469654E-4	3.2302103309491786E-4	1.9543617242901844E-4	7.774635881354012E-4	7.86964455113386E-5
9	0.15362779753885542	0.11614970817330425	0.3248526762181131	0.416605177235557	0.7742530262401676	0.041037791973314613	0.2675840159952401	0.027263138286200975	0.035978770575710715	0.01034827175366763
10	2.7912390863550916E-4	0.00931760786664868	0.0036546967953157146	0.07525020702761874	0.0016640440240391465	6.348099823951691E-4	9.851254263543233E-4	0.0016606436769060003	0.0035854115622653143	7.3513070576837E-5
