State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7607535221257294	0.05684681373968494	0.014432397852487755	9.444418320626835E-4	0.0035203932686760893	0.0016886861562398715	0.028797836698310195	0.11917133703191408	4.379611705352234E-4	0.013406610124359588
2	0.17331658584061144	0.7987442870232901	0.0014870247021469877	0.01653506895141324	0.006911921255922682	3.5133848791587635E-4	0.002603564179143993	0.0	5.020955955570843E-5	0.0
3	0.05801551186275194	0.0015000780596348033	0.7263913563952678	0.07692303852976556	0.0014429066426581854	6.008155952952132E-4	0.003097214544545823	0.05735582878495306	0.0018403360685282004	0.07283291351659964
4	0.0017492192502834146	0.013460168536228827	0.045514988875779275	0.872107425058975	0.06435976802446694	0.0012015352346674802	3.9949269121509627E-4	0.001141669801641005	6.573252674306534E-5	0.0
5	0.008628930263352921	0.005213388649848317	5.75137856251404E-4	0.0659216211712547	0.7927216757779251	0.12420715950204697	0.002536552871703322	1.403564825698408E-4	5.517742504734865E-5	0.0
6	0.0017646870235265638	3.335162313637179E-5	2.0213200213146227E-4	3.9221343419391496E-4	0.04744199358131791	0.9193937463666876	0.030423814343139687	0.0	3.480616258665848E-4	0.0
7	0.007968365618443532	1.50512730325359E-4	1.9719624703265124E-4	4.4354291766556915E-5	2.406060845585075E-4	0.008592271695603355	0.9766933897526823	0.004831652064897992	0.001281651514689866	0.0
8	0.0034707977740542953	0.0	4.4932212424667636E-4	1.4524341898863108E-5	1.8506917279194023E-6	1.711470418898223E-6	5.136208580775215E-4	0.9929736956811445	8.816056694723423E-4	0.0016928713889589233
9	0.006632154643483558	0.001141111301768216	0.00722904065140363	6.462948420008809E-4	3.0315603866977014E-4	0.004801444947359832	0.06496402495474513	0.4086718006730288	0.45794180259495615	0.04766916935258427
10	0.003591353836055615	0.0	0.0047539652107613725	0.0	0.0	0.0	0.0	0.015126204412985634	9.557099724172577E-4	0.9755727665677801
